Artist and Title,Streams,Daily
Oxlade - KU LO SA,300989920,231281.0
Brent Faiyaz - ALL MINE,300664060,339207.0
NLE Choppa - Capo,299850448,139093.0
"Bizarrap - Villano Antillano: Bzrp Music Sessions, Vol. 51",298998801,169234.0
Fuerza Regida - Billete Grande (En Vivo),298137772,255795.0
Måneskin - SUPERMODEL,296986880,246962.0
Black Eyed Peas - DON'T YOU WORRY,296209365,154403.0
Jung Kook - Stay Alive (Prod. SUGA of BTS),295682369,139309.0
Luis Mexia - Calidad,295440920,273598.0
Gunna - P power,295314926,279302.0
Grupo Firme - Calidad,295164104,277664.0
Tulus - Hati-Hati di Jalan,294607968,228504.0
Nathan Dawe - 21 Reasons,294123907,264224.0
The Kid LAROI - Thousand Miles,293332696,134026.0
Dave - Starlight,292561632,195129.0
Taylor Swift - Question...?,291845510,118731.0
TWISTED - WORTH NOTHING,291148624,180662.0
Tiago PZK - Entre Nosotros (Remix) [con Nicki Nicole],290514171,171895.0
George Ezra - Green Green Grass,289688473,326976.0
Harry Styles - Love Of My Life,288856981,140960.0
Steve Lacy - Static,288519395,347710.0
Guilherme & Benuto - Haja Colírio,286136403,88155.0
Isabel LaRosa - i'm yours,285164180,749735.0
NAYEON - POP!,284600299,245635.0
Kaifi Khalil - Kahani Suno 2.0,283966626,305148.0
Stray Kids - MANIAC,283330983,223033.0
Freddie Dredd - Limbo,281492347,215337.0
La Pantera - Cayó La Noche,279406045,80959.0
The Weeknd - Less Than Zero,279161271,230625.0
Grupo Marca Registrada - Si Fuera Fácil,278248382,164499.0
Feid - Prohibidox,277399224,298325.0
(G)I-DLE - TOMBOY,276503351,213693.0
Piso 21 - Los Cachos,276107281,132225.0
Jimin - With you,275183375,100918.0
Quevedo - SIN SEÑAL,274903087,180078.0
ENHYPEN - Polaroid Love,274309786,192005.0
Taylor Swift - The Great War,271987005,158187.0
g3ox_em - GigaChad Theme,271370190,256436.0
Paulo Londra - Plan A,270970846,93268.0
Imagine Dragons - Sharks,270389056,306454.0
Montell Fish - Hotel,269747036,612381.0
Taylor Swift - Sweet Nothing,268072297,153098.0
Taylor Swift - Labyrinth,266572339,159335.0
Drake - Pussy & Millions,265734253,200568.0
SZA - Blind,265241505,369363.0
Felix Jaehn - Call It Love,264989923,465931.0
PSY - That That (prod.&feat. SUGA of BTS),262309172,163564.0
RAYE - Escapism.,262145556,195926.0
TINI - La Triple T,260707615,129452.0
"Taylor Swift - Would've, Could've, Should've",260568474,149873.0
Chance Peña - In My Room,260270148,446475.0
Justine Skye - Collide (Sped Up Remix),259606299,186041.0
BLACKPINK - Tally,259144559,186027.0
Cults - Gilded Lily,257877702,319033.0
Yung Gravy - Betty (Get Money),257566420,103540.0
benny blanco - Bad Decisions,255460091,103036.0
Burna Boy - For My Hand,255336051,214274.0
Kanye West - True Love,255212465,194701.0
Keisya Levronka - Tak Ingin Usai,255185369,200477.0
BoyWithUke - IDGAF,254933169,189870.0
Shubh - Baller,253730530,202541.0
yuji - Old Love,252386213,203994.0
Lauren Spencer Smith - Flowers,250461439,251141.0
Banda MS de Sergio Lizárraga - Ojos Cerrados,250348341,309798.0
Mc Paiva ZS - Casei Com a Putaria,250107117,126676.0
Bailey Zimmerman - Fall In Love,249709377,267616.0
Peso Pluma - El Belicon,249486930,122118.0
keshi - LIMBO,248657366,247532.0
TWICE - Talk that Talk,248654178,183292.0
MoonDeity - NEON BLADE,246917767,208056.0
Julión Álvarez y su Norteño Banda - Que Te Vaya Bien,246888462,408464.0
Drake - Sticky,246533592,168571.0
Drake - On BS,245907837,191730.0
Drake - Massive,243821947,212655.0
Stacey Ryan - Fall In Love Alone,243653788,149400.0
Bad Bunny - El Apagón,243001516,113260.0
Taylor Swift - This Love (Taylor’s Version),241749739,181617.0
Noah Kahan - Northern Attitude,240766103,645156.0
Matuê - Vampiro,240597057,218826.0
Kenia OS - Malas Decisiones,239342430,293590.0
Hans Zimmer - Now We Are Free,239081251,153199.0
Kendrick Lamar - Rich Spirit,238345970,232801.0
raissa anggiani - Kau Rumahku,237677576,233801.0
Harry Styles - Grapejuice,237420291,98141.0
Sleepy Hallow - Die Young,237153402,199963.0
Feid - Si Te La Encuentras Por Ahí,237095288,198013.0
Brent Faiyaz - JACKIE BROWN,236187449,293751.0
PLAYAMANE - MIDNIGHT,236066264,161985.0
Morgan Wallen - One Thing At A Time,235662257,277789.0
Swedish House Mafia - Heaven Takes You Home,235625588,298262.0
Adie - Mahika,235392275,309418.0
Ana Castela - Pipoco,235233731,77571.0
Cole Swindell - She Had Me At Heads Carolina,235094687,193484.0
(G)I-DLE - Nxde,234600594,178505.0
WIU - Coração de Gelo,234533936,158644.0
Duki - GIVENCHY,233449865,158962.0
Beyoncé - ALIEN SUPERSTAR,233303399,139185.0
Muni Long - Hrs & Hrs,232781912,194951.0
Lil Tjay - In My Head,232376361,118034.0
Yeat - Talk,232329547,228603.0
Leah Kate - 10 Things I Hate About You,232158409,144588.0
Ari Abdul - BABYDOLL (Speed),231684592,268222.0
Standly - Pégate,231162326,137849.0
Kendrick Lamar - United In Grief,230911911,244109.0
Fabio Asher - Rumah Singgah,230586447,169566.0
j-hope - MORE,230327906,164969.0
PEDRO SAMPAIO - DANÇARINA,229071684,63930.0
Juice WRLD - Cigarettes,228172923,118662.0
Harry Styles - Daydreaming,227895056,112748.0
Sachin-Jigar - Apna Bana Le,227727219,498181.0
Mac Miller - Love Lost,226453759,353382.0
Rex Orange County - AMAZING,226377165,132408.0
Mora - TUS LÁGRIMAS,226237795,121536.0
Benzz - Je M'appelle,225939596,135266.0
Juice WRLD - Already Dead,225660402,80050.0
David Kushner - Mr. Forgettable,225585150,290788.0
imase - NIGHT DANCER,223789821,338644.0
Harry Styles - Cinema,223406687,99368.0
Jack Harlow - Nail Tech,221545977,91892.0
MC MENOR HR - Evoque Prata,221393901,68473.0
Beny Jr - Sigue,221382688,525442.0
Yeat - Flawlëss,220684988,311954.0
Maluma - Mojando Asientos,220215611,121223.0
WIU - Felina,219932157,180957.0
ROSALÍA - BIZCOCHITO,219320926,91927.0
TREASURE - DARARI,219220126,104414.0
Rvfv - Mi Luz,218757384,386311.0
CKay - emiliana,218310888,134225.0
Calvin Harris - Potion,218218416,86250.0
NewJeans - Cookie,218100602,203741.0
RM - Wild Flower,218013460,339274.0
Duki - Antes de Perderte,216736522,184756.0
WOS - ARRANCÁRMELO,216321389,166398.0
Junior H - Vamos Para Arriba,216074468,172179.0
L7NNON - Ai Preto,215824156,128570.0
Isabel LaRosa - i'm yours sped up,214642533,216741.0
Tiësto - Hot In It,213823819,118992.0
Stephanie Beatriz - The Family Madrigal,213668850,89821.0
Bellakath - Gatita,213384633,155688.0
Mau y Ricky - Llorar y Llorar,212794861,180075.0
Jordan Davis - Next Thing You Know,212548563,380831.0
Victor Cibrian - En El Radio Un Cochinero,212319068,89703.0
Matheus & Kauan - Pactos,210564323,114548.0
"Vishal-Shekhar - Besharam Rang (From ""Pathaan"")",210424346,191917.0
Jordan Davis - What My World Spins Around,209122296,308390.0
